Gene	Gene description	Protein class	RNA cancer category	RNA TS TPM
MYBL1	MYB proto-oncogene like 1	Plasma proteins, Predicted intracellular proteins, Transcription factors	Mixed	lymph node: 24.2;testis: 21.4
MYBL2	MYB proto-oncogene like 2	Cancer-related genes, Predicted intracellular proteins, Transcription factors	Tissue enriched	bone marrow: 57.0;lymph node: 67.3;tonsil: 49.9
MYCT1	Myc target 1	Predicted intracellular proteins, Predicted membrane proteins	Expressed in all	spleen: 69.0
MYO1F	Myosin IF	Plasma proteins, Predicted intracellular proteins	Expressed in all	appendix: 50.4;bone marrow: 59.7;spleen: 63.3
MYO1G	Myosin IG	Predicted intracellular proteins	Expressed in all	bone marrow: 27.7;lymph node: 27.7;spleen: 24.6
NCF1	Neutrophil cytosolic factor 1	Disease related genes, Predicted intracellular proteins	Mixed	lymph node: 71.2;spleen: 74.1
NCF2	Neutrophil cytosolic factor 2	Disease related genes, Plasma proteins, Predicted intracellular proteins	Expressed in all	bone marrow: 127.5
NCF4	Neutrophil cytosolic factor 4	Disease related genes, Plasma proteins, Predicted intracellular proteins	Expressed in all	bone marrow: 119.9
NCR3	Natural cytotoxicity triggering receptor 3	CD markers, Predicted membrane proteins	Mixed	lymph node: 1.7;spleen: 1.5;tonsil: 1.1
NDST3	N-deacetylase and N-sulfotransferase 3	Enzymes, Predicted intracellular proteins	Not detected	cerebral cortex: 3.0;spleen: 2.8
NETO2	Neuropilin and tolloid like 2	Predicted membrane proteins, Transporters	Mixed	spleen: 31.5
NFAM1	NFAT activating protein with ITAM motif 1	Predicted membrane proteins	Expressed in all	appendix: 17.2;bone marrow: 20.2
NFKBID	NFKB inhibitor delta	Predicted intracellular proteins, Transcription factors	Expressed in all	bone marrow: 9.8
NKG7	Natural killer cell granule protein 7	Predicted membrane proteins, Predicted secreted proteins	Expressed in all	bone marrow: 351.3;spleen: 151.2
NKX2-3	NK2 homeobox 3	Predicted intracellular proteins, Transcription factors	Tissue enhanced	small intestine: 12.7;spleen: 29.6
NKX3-2	NK3 homeobox 2	Disease related genes, Predicted intracellular proteins, Transcription factors	Mixed	spleen: 2.7
NLRC3	NLR family CARD domain containing 3	Plasma proteins, Predicted intracellular proteins	Mixed	lymph node: 15.7
NLRC4	NLR family CARD domain containing 4	Disease related genes, Plasma proteins, Predicted intracellular proteins	Mixed	appendix: 12.4
NLRP12	NLR family pyrin domain containing 12	Disease related genes, Predicted intracellular proteins	Tissue enriched	appendix: 3.1;bone marrow: 4.1
NLRP3	NLR family pyrin domain containing 3	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Mixed	bone marrow: 34.4
NOCT	Nocturnin	Enzymes, Predicted intracellular proteins	Expressed in all	bone marrow: 21.2
NOX5	NADPH oxidase 5	Predicted membrane proteins, Transporters	Not detected	spleen: 13.2
NOXO1	NADPH oxidase organizer 1	FDA approved drug targets, Predicted intracellular proteins	Not detected	appendix: 6.3;colon: 7.4;rectum: 6.5
NPHS1	NPHS1, nephrin	Disease related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Mixed	kidney: 17.7;lymph node: 5.4;pancreas: 5.5
NPY1R	Neuropeptide Y receptor Y1	G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins	Tissue enriched	spleen: 151.8
NPY5R	Neuropeptide Y receptor Y5	G-protein coupled receptors, Predicted membrane proteins	Tissue enhanced	spleen: 12.3;testis: 9.7
NTN4	Netrin 4	Cancer-related genes, Predicted intracellular proteins, Predicted secreted proteins	Expressed in all	spleen: 246.4
NUGGC	Nuclear GTPase, germinal center associated	Predicted intracellular proteins	Tissue enriched	lymph node: 22.9;tonsil: 21.4
NUSAP1	Nucleolar and spindle associated protein 1	Predicted intracellular proteins	Expressed in all	bone marrow: 75.3
OASL	2'-5'-oligoadenylate synthetase like	Predicted intracellular proteins	Expressed in all	bone marrow: 35.4;stomach: 22.1
OCM	Oncomodulin	Predicted intracellular proteins	Not detected	lymph node: 2.4
OR1L8	Olfactory receptor family 1 subfamily L member 8	G-protein coupled receptors, Predicted membrane proteins	Not detected	spleen: 1.2
OR2W3	Olfactory receptor family 2 subfamily W member 3	G-protein coupled receptors, Predicted membrane proteins	Tissue enhanced	bone marrow: 7.8;thyroid gland: 10.5
ORC1	Origin recognition complex subunit 1	Disease related genes, Predicted intracellular proteins	Mixed	bone marrow: 17.9
OSCAR	Osteoclast associated, immunoglobulin-like receptor	Predicted membrane proteins, Predicted secreted proteins	Expressed in all	bone marrow: 9.0;lung: 14.1
OSM	Oncostatin M	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Mixed	bone marrow: 78.7
OTOF	Otoferlin	Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Not detected	bone marrow: 4.3
P2RY10	Purinergic receptor P2Y10	G-protein coupled receptors, Predicted membrane proteins	Mixed	lymph node: 33.1;spleen: 22.6;tonsil: 24.0
P2RY13	Purinergic receptor P2Y13	G-protein coupled receptors, Predicted membrane proteins	Expressed in all	spleen: 51.2
P2RY6	Pyrimidinergic receptor P2Y6	G-protein coupled receptors, Predicted membrane proteins	Mixed	placenta: 16.8;spleen: 35.6
P2RY8	Purinergic receptor P2Y8	Cancer-related genes, G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins	Expressed in all	lymph node: 47.6
PANK4	Pantothenate kinase 4	Enzymes, Predicted intracellular proteins	Expressed in all	appendix: 3.2
PARP15	Poly(ADP-ribose) polymerase family member 15	Enzymes, Predicted intracellular proteins, Predicted secreted proteins	Mixed	lymph node: 55.0;spleen: 60.4;tonsil: 48.1
PARVG	Parvin gamma	Predicted intracellular proteins, Predicted membrane proteins	Expressed in all	spleen: 38.4
PATL2	PAT1 homolog 2	Predicted intracellular proteins, Predicted secreted proteins	Mixed	lymph node: 20.0;spleen: 19.3
PAX5	Paired box 5	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Mixed	lymph node: 48.5;spleen: 26.2;tonsil: 33.2
PCDH17	Protocadherin 17	Predicted intracellular proteins, Predicted membrane proteins	Mixed	cerebral cortex: 25.8;spleen: 33.8
PCLAF	PCNA clamp associated factor	Predicted intracellular proteins	Expressed in all	bone marrow: 76.2;lymph node: 50.8
PCSK6	Proprotein convertase subtilisin/kexin type 6	Enzymes, Predicted intracellular proteins	Mixed	liver: 90.3;spleen: 124.6
PDCD1	Programmed cell death 1	CD markers, Disease related genes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins	Mixed	lymph node: 12.0
PDCD1LG2	Programmed cell death 1 ligand 2	Cancer-related genes, CD markers, Predicted membrane proteins	Mixed	spleen: 21.5
PDE2A	Phosphodiesterase 2A	Enzymes, Predicted intracellular proteins, Predicted secreted proteins	Mixed	cerebral cortex: 141.8;spleen: 184.3
PDE6G	Phosphodiesterase 6G	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Tissue enhanced	lymph node: 26.1;spleen: 33.3
PDE6H	Phosphodiesterase 6H	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Not detected	bone marrow: 2.4;placenta: 1.3
PF4V1	Platelet factor 4 variant 1	Plasma proteins, Predicted secreted proteins	Tissue enhanced	spleen: 3.9
PHOSPHO1	Phosphoethanolamine/phosphocholine phosphatase	Enzymes, Predicted intracellular proteins	Mixed	spleen: 20.4;testis: 41.1
PI15	Peptidase inhibitor 15	Predicted secreted proteins	Group enriched	appendix: 73.2;prostate: 50.5;smooth muscle: 67.8
PIK3AP1	Phosphoinositide-3-kinase adaptor protein 1	Predicted intracellular proteins, Predicted secreted proteins	Expressed in all	spleen: 85.6
PIK3CD	Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, RAS pathway related proteins	Expressed in all	lymph node: 56.4
PIK3CG	Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma	Cancer-related genes, Enzymes, Predicted intracellular proteins	Mixed	bone marrow: 28.1
PIK3R5	Phosphoinositide-3-kinase regulatory subunit 5	Disease related genes, Predicted intracellular proteins	Expressed in all	bone marrow: 55.2
PILRA	Paired immunoglobin like type 2 receptor alpha	Predicted membrane proteins, Predicted secreted proteins	Expressed in all	appendix: 52.4
PITPNM3	PITPNM family member 3	Disease related genes, Predicted intracellular proteins	Mixed	spleen: 76.8
PKD2L1	Polycystin 2 like 1, transient receptor potential cation channel	Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters, Voltage-gated ion channels	Mixed	spleen: 9.8
PKMYT1	Protein kinase, membrane associated tyrosine/threonine 1	Enzymes, Predicted intracellular proteins, Predicted membrane proteins	Mixed	bone marrow: 17.0;testis: 27.7
PLA2G2D	Phospholipase A2 group IID	Enzymes, Predicted secreted proteins, RAS pathway related proteins	Tissue enriched	lymph node: 118.5;tonsil: 54.0
PLCB2	Phospholipase C beta 2	Enzymes, Predicted intracellular proteins	Expressed in all	spleen: 55.9
PLCG2	Phospholipase C gamma 2	Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, RAS pathway related proteins	Expressed in all	lymph node: 78.9
PLEK	Pleckstrin	Plasma proteins, Predicted intracellular proteins	Expressed in all	bone marrow: 371.1
PLEKHG1	Pleckstrin homology and RhoGEF domain containing G1	Predicted intracellular proteins	Expressed in all	spleen: 48.4
PLPPR3	Phospholipid phosphatase related 3	Enzymes, Predicted membrane proteins	Tissue enhanced	bone marrow: 6.1;cerebral cortex: 9.6;fallopian tube: 8.9
PMAIP1	Phorbol-12-myristate-13-acetate-induced protein 1	Predicted intracellular proteins	Expressed in all	bone marrow: 55.8
PMCH	Pro-melanin concentrating hormone	Predicted secreted proteins	Tissue enhanced	lymph node: 1.1
PNOC	Prepronociceptin	Predicted intracellular proteins, Predicted secreted proteins	Tissue enriched	cerebral cortex: 44.2;fallopian tube: 26.3;lymph node: 28.9
POU2AF1	POU class 2 associating factor 1	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins	Mixed	lymph node: 101.7;tonsil: 93.7
POU2F2	POU class 2 homeobox 2	Cancer-related genes, Predicted intracellular proteins, Transcription factors	Mixed	lymph node: 62.3;tonsil: 44.4
PPBP	Pro-platelet basic protein	Plasma proteins, Predicted secreted proteins	Tissue enriched	bone marrow: 110.6
PPP1R18	Protein phosphatase 1 regulatory subunit 18	Predicted intracellular proteins	Expressed in all	lymph node: 53.3
PRAM1	PML-RARA regulated adaptor molecule 1	Predicted intracellular proteins	Mixed	bone marrow: 65.1
PRF1	Perforin 1	Cancer-related genes, Disease related genes, Potential drug targets, Predicted secreted proteins, Transporters	Expressed in all	spleen: 52.8
PROK2	Prokineticin 2	Disease related genes, Predicted secreted proteins	Tissue enhanced	appendix: 30.3;bone marrow: 52.7;testis: 24.1
PRR5L	Proline rich 5 like	Predicted intracellular proteins	Expressed in all	spleen: 51.1
PSTPIP1	Proline-serine-threonine phosphatase interacting protein 1	Disease related genes, Predicted intracellular proteins	Expressed in all	bone marrow: 37.6
PSTPIP2	Proline-serine-threonine phosphatase interacting protein 2	Predicted intracellular proteins	Expressed in all	bone marrow: 47.2;spleen: 69.7
PTAFR	Platelet activating factor receptor	G-protein coupled receptors, Predicted membrane proteins, Transporters	Expressed in all	appendix: 41.1
PTCRA	Pre T-cell antigen receptor alpha	Predicted membrane proteins	Mixed	lymph node: 3.2;spleen: 4.8
PTGDR	Prostaglandin D2 receptor	Disease related genes, G-protein coupled receptors, Potential drug targets, Predicted membrane proteins	Mixed	rectum: 8.6;spleen: 8.7
PTGER1	Prostaglandin E receptor 1	FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins, Transporters	Tissue enhanced	kidney: 2.9;spleen: 2.5
PTPN22	Protein tyrosine phosphatase, non-receptor type 22	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Mixed	bone marrow: 24.8
PTPN7	Protein tyrosine phosphatase, non-receptor type 7	Enzymes, Predicted intracellular proteins	Expressed in all	bone marrow: 25.2;lymph node: 24.3
PTPRCAP	Protein tyrosine phosphatase, receptor type C associated protein	Predicted secreted proteins	Not detected	appendix: 64.0;lymph node: 91.4;spleen: 84.9
PTX3	Pentraxin 3	Plasma proteins, Predicted secreted proteins	Tissue enhanced	adipose tissue: 164.6;appendix: 54.2
PVRIG	Poliovirus receptor related immunoglobulin domain containing	Predicted membrane proteins	Not detected	lymph node: 20.5;spleen: 11.0
PYHIN1	Pyrin and HIN domain family member 1	Predicted intracellular proteins	Mixed	lymph node: 26.3;spleen: 19.2
RASAL3	RAS protein activator like 3	Predicted intracellular proteins, RAS pathway related proteins	Expressed in all	lymph node: 37.5
RASGRP1	RAS guanyl releasing protein 1	Disease related genes, Predicted intracellular proteins, RAS pathway related proteins	Mixed	cerebral cortex: 28.4;lymph node: 25.0
RASGRP2	RAS guanyl releasing protein 2	Disease related genes, Plasma proteins, Predicted intracellular proteins, RAS pathway related proteins	Mixed	lymph node: 122.0;spleen: 107.0
RASGRP4	RAS guanyl releasing protein 4	Predicted intracellular proteins, RAS pathway related proteins	Tissue enhanced	bone marrow: 13.1
RCSD1	RCSD domain containing 1	Predicted intracellular proteins	Expressed in all	lymph node: 107.2
REM2	RRAD and GEM like GTPase 2	Predicted intracellular proteins	Mixed	bone marrow: 6.0;parathyroid gland: 4.6
RENBP	Renin binding protein	Enzymes, Predicted intracellular proteins	Expressed in all	spleen: 58.5
RFLNB	Refilin B	Predicted intracellular proteins	Expressed in all	bone marrow: 49.3
RFX8	RFX family member 8, lacking RFX DNA binding domain	Predicted intracellular proteins, Transcription factors	Mixed	bone marrow: 2.6
RGS18	Regulator of G-protein signaling 18	Predicted intracellular proteins	Mixed	spleen: 35.0
RGS19	Regulator of G-protein signaling 19	Predicted intracellular proteins	Expressed in all	spleen: 53.7
RHD	Rh blood group D antigen	Blood group antigen proteins, CD markers, Predicted membrane proteins, Transporters	Not detected	bone marrow: 9.2
RHOH	Ras homolog family member H	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Mixed	lymph node: 98.3;tonsil: 77.5
ROBO4	Roundabout guidance receptor 4	Plasma proteins, Predicted membrane proteins	Expressed in all	spleen: 58.2
RP11-20I23.3		Predicted intracellular proteins	Not detected	bone marrow: 1.1;small intestine: 1.3
RP11-226E21.4		Predicted intracellular proteins, Predicted membrane proteins		bone marrow: 2.8
RP11-231C18.3		Predicted intracellular proteins		appendix: 1.2;cerebral cortex: 3.3
RP11-330H6.5		Predicted membrane proteins	Not detected	lymph node: 3.7;tonsil: 2.3
RP11-599B13.6		Predicted membrane proteins	Not detected	colon: 5.2;spleen: 5.1;stomach: 4.5
RP11-872D17.8		Predicted membrane proteins	Mixed	bone marrow: 7.7;placenta: 10.5
RP4-576H24.4		Predicted intracellular proteins, Predicted secreted proteins	Not detected	appendix: 3.3;cerebral cortex: 4.5
RP4-583P15.15		Predicted intracellular proteins, Predicted membrane proteins	Mixed	adrenal gland: 1.2;appendix: 1.0
RUFY4	RUN and FYVE domain containing 4	Predicted intracellular proteins	Mixed	spleen: 2.5
RUNX3	Runt related transcription factor 3	Predicted intracellular proteins, Transcription factors	Expressed in all	spleen: 50.5
S100P	S100 calcium binding protein P	Plasma proteins, Predicted intracellular proteins	Tissue enhanced	bone marrow: 169.5;stomach: 363.3;urinary bladder: 178.9
S1PR4	Sphingosine-1-phosphate receptor 4	G-protein coupled receptors, Predicted membrane proteins	Expressed in all	lymph node: 18.1;spleen: 26.4
SAMD3	Sterile alpha motif domain containing 3	Predicted intracellular proteins	Not detected	spleen: 13.0
SAMSN1	SAM domain, SH3 domain and nuclear localization signals 1	Predicted intracellular proteins	Expressed in all	appendix: 110.1;bone marrow: 123.6
SAP25	Sin3A associated protein 25	Predicted intracellular proteins	Mixed	spleen: 48.2
SASH3	SAM and SH3 domain containing 3	Predicted intracellular proteins	Expressed in all	lymph node: 136.7;spleen: 99.3;tonsil: 97.4
SCARF1	Scavenger receptor class F member 1	Predicted secreted proteins	Expressed in all	spleen: 16.6
SCIMP	SLP adaptor and CSK interacting membrane protein	Predicted membrane proteins	Mixed	spleen: 68.5
SCML4	Sex comb on midleg-like 4 (Drosophila)	Predicted intracellular proteins	Mixed	lymph node: 16.1
SCN11A	Sodium voltage-gated channel alpha subunit 11	Disease related genes, FDA approved drug targets, Predicted membrane proteins, Transporters, Voltage-gated ion channels	Not detected	placenta: 3.7;spleen: 5.3
SCO2	SCO2, cytochrome c oxidase assembly protein	Disease related genes, Predicted intracellular proteins, Predicted membrane proteins		bone marrow: 5.3
SEC14L3	SEC14 like lipid binding 3	Predicted intracellular proteins, Predicted secreted proteins	Not detected	bone marrow: 2.3;lung: 1.5;thyroid gland: 2.8
SELL	Selectin L	Cancer-related genes, Candidate cardiovascular disease genes, CD markers, Plasma proteins, Predicted membrane proteins	Expressed in all	lymph node: 254.9;spleen: 219.3;tonsil: 179.1
SEMA7A	Semaphorin 7A (John Milton Hagen blood group)	Blood group antigen proteins, CD markers, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Expressed in all	spleen: 59.6;testis: 56.9
SEPT1	Septin 1	Predicted intracellular proteins	Expressed in all	lymph node: 16.3;spleen: 11.3
SH2D1A	SH2 domain containing 1A	Disease related genes, Plasma proteins, Predicted intracellular proteins	Mixed	lymph node: 36.3;spleen: 17.5
SH2D1B	SH2 domain containing 1B	Predicted intracellular proteins	Not detected	spleen: 10.3
SH2D2A	SH2 domain containing 2A	Predicted intracellular proteins	Expressed in all	appendix: 15.0
SHCBP1	SHC binding and spindle associated 1	Predicted intracellular proteins	Mixed	lymph node: 17.4
SIGLEC10	Sialic acid binding Ig like lectin 10	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Expressed in all	appendix: 48.4;spleen: 36.9
SIGLEC12	Sialic acid binding Ig like lectin 12 (gene/pseudogene)	Predicted membrane proteins	Mixed	appendix: 6.4;spleen: 12.8
SIGLEC14	Sialic acid binding Ig like lectin 14	Plasma proteins, Predicted membrane proteins	Mixed	appendix: 34.8;spleen: 55.2
SIGLEC5	Sialic acid binding Ig like lectin 5	CD markers, Predicted membrane proteins	Tissue enhanced	appendix: 9.3;bone marrow: 9.7;spleen: 8.8
SIGLEC7	Sialic acid binding Ig like lectin 7	CD markers, Predicted membrane proteins, Predicted secreted proteins	Mixed	spleen: 21.0
SIGLEC9	Sialic acid binding Ig like lectin 9	Predicted membrane proteins	Mixed	appendix: 24.7;spleen: 23.5
SIPA1	Signal-induced proliferation-associated 1	Predicted intracellular proteins	Expressed in all	spleen: 99.7
SIRPB1	Signal regulatory protein beta 1	CD markers, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Mixed	appendix: 38.7;bone marrow: 33.7
SIRPB2	Signal regulatory protein beta 2	Predicted membrane proteins	Mixed	appendix: 17.0
SIRPG	Signal regulatory protein gamma	CD markers, Predicted membrane proteins	Mixed	lymph node: 38.8;tonsil: 25.8
SKA1	Spindle and kinetochore associated complex subunit 1	Predicted intracellular proteins	Mixed	bone marrow: 5.5;testis: 5.9
SLA	Src like adaptor	Predicted intracellular proteins	Expressed in all	appendix: 104.2
SLA2	Src like adaptor 2	Plasma proteins, Predicted intracellular proteins	Mixed	lymph node: 11.8
SLAMF1	Signaling lymphocytic activation molecule family member 1	CD markers, Predicted membrane proteins, Predicted secreted proteins	Mixed	appendix: 15.4;lymph node: 21.1;tonsil: 14.3
SLAMF6	SLAM family member 6	CD markers, Predicted membrane proteins	Mixed	lymph node: 70.8;spleen: 43.3;tonsil: 44.6
SLAMF8	SLAM family member 8	CD markers, Predicted membrane proteins	Expressed in all	appendix: 39.3
SLC11A1	Solute carrier family 11 member 1	Predicted membrane proteins, Transporters	Mixed	appendix: 9.1;lung: 13.0
SLC22A15	Solute carrier family 22 member 15	Predicted membrane proteins, Transporters	Expressed in all	bone marrow: 20.5
SLC2A3	Solute carrier family 2 member 3	Predicted membrane proteins, Transporters	Tissue enriched	bone marrow: 271.2
SLC9A5	Solute carrier family 9 member A5	Predicted intracellular proteins, Predicted membrane proteins, Transporters	Mixed	spleen: 7.8
SLFN14	Schlafen family member 14	Disease related genes, Predicted intracellular proteins	Not detected	bone marrow: 2.5
SMIM1	Small integral membrane protein 1 (Vel blood group)	Blood group antigen proteins, Predicted intracellular proteins, Predicted membrane proteins	Expressed in all	bone marrow: 17.5;testis: 24.6
SNTG1	Syntrophin gamma 1	Plasma proteins, Predicted intracellular proteins	Tissue enhanced	cerebral cortex: 8.6;spleen: 3.8
SNTG2	Syntrophin gamma 2	Predicted intracellular proteins	Not detected	spleen: 2.5;testis: 2.4
SNX20	Sorting nexin 20	Predicted intracellular proteins	Mixed	lymph node: 31.5
SOCS1	Suppressor of cytokine signaling 1	Cancer-related genes, Predicted intracellular proteins	Expressed in all	appendix: 19.3
SOWAHD	Sosondowah ankyrin repeat domain family member D	Predicted intracellular proteins	Tissue enriched	spleen: 5.0
SPATA13	Spermatogenesis associated 13	Plasma proteins, Predicted intracellular proteins	Expressed in all	spleen: 90.2
SPIB	Spi-B transcription factor	Predicted intracellular proteins, Transcription factors	Mixed	appendix: 53.9;lymph node: 103.3;tonsil: 91.1
SPN	Sialophorin	CD markers, Predicted membrane proteins	Expressed in all	bone marrow: 38.6;lung: 33.3
SPSB4	SplA/ryanodine receptor domain and SOCS box containing 4	Predicted intracellular proteins	Group enriched	cerebral cortex: 1.3;spleen: 1.5;testis: 2.4
SPTB	Spectrin beta, erythrocytic	Disease related genes, Plasma proteins, Predicted intracellular proteins	Mixed	bone marrow: 38.3;skeletal muscle: 43.1
STK17B	Serine/threonine kinase 17b	Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Expressed in all	bone marrow: 248.5
STX11	Syntaxin 11	Disease related genes, Predicted intracellular proteins	Expressed in all	bone marrow: 100.8
TAC1	Tachykinin precursor 1	Predicted secreted proteins	Mixed	cerebral cortex: 77.7;spleen: 47.0
TAGAP	T-cell activation RhoGTPase activating protein	Predicted intracellular proteins	Expressed in all	bone marrow: 129.8
TAL1	TAL bHLH transcription factor 1, erythroid differentiation factor	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Mixed	bone marrow: 17.7
TBC1D10C	TBC1 domain family member 10C	Predicted intracellular proteins, Predicted membrane proteins	Expressed in all	lymph node: 45.6;spleen: 37.9
TBC1D3E	TBC1 domain family member 3E	Predicted membrane proteins	Not detected	bone marrow: 1.1;gallbladder: 1.8;testis: 3.1
TBX21	T-box 21	Disease related genes, Predicted intracellular proteins, Transcription factors	Mixed	lymph node: 8.5;spleen: 11.1
TCF19	Transcription factor 19	Predicted intracellular proteins	Expressed in all	lymph node: 11.3
TCF21	Transcription factor 21	Predicted intracellular proteins, Transcription factors	Mixed	placenta: 62.4;spleen: 46.9
TCF7	Transcription factor 7 (T-cell specific, HMG-box)	Cancer-related genes, Predicted intracellular proteins, Transcription factors	Expressed in all	lymph node: 110.1
TCHH	Trichohyalin	Disease related genes, Plasma proteins, Predicted intracellular proteins	Tissue enhanced	placenta: 1.6;spleen: 2.1
TCL1A	T-cell leukemia/lymphoma 1A	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Tissue enriched	lymph node: 324.7;tonsil: 196.7
TCL1B	T-cell leukemia/lymphoma 1B	Predicted intracellular proteins	Tissue enriched	lymph node: 2.4;testis: 3.6;tonsil: 2.2
TCN1	Transcobalamin 1	Plasma proteins, Predicted secreted proteins	Tissue enhanced	bone marrow: 123.8;gallbladder: 254.4;salivary gland: 315.5
TDGF1	Teratocarcinoma-derived growth factor 1	Predicted intracellular proteins	Group enriched	spleen: 24.8
TESPA1	Thymocyte expressed, positive selection associated 1	Predicted intracellular proteins	Mixed	lymph node: 46.7
THEMIS	Thymocyte selection associated	Predicted intracellular proteins	Mixed	lymph node: 8.4
THEMIS2	Thymocyte selection associated family member 2	Predicted intracellular proteins	Expressed in all	bone marrow: 137.5
TIFAB	TIFA inhibitor	Predicted intracellular proteins	Tissue enhanced	appendix: 4.9;lymph node: 6.3
TIGIT	T-cell immunoreceptor with Ig and ITIM domains	Predicted membrane proteins	Mixed	lymph node: 44.3
TLR2	Toll like receptor 2	CD markers, FDA approved drug targets, Predicted membrane proteins	Expressed in all	appendix: 52.7
TLR8	Toll like receptor 8	CD markers, Predicted membrane proteins	Mixed	appendix: 23.2;lung: 15.6;spleen: 18.3
TLR9	Toll like receptor 9	CD markers, FDA approved drug targets, Predicted membrane proteins	Not detected	lymph node: 3.0
TMC8	Transmembrane channel like 8	Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Expressed in all	lymph node: 118.8;spleen: 104.5
TMCC2	Transmembrane and coiled-coil domain family 2	Predicted membrane proteins	Mixed	bone marrow: 52.4;cerebral cortex: 15.1
TMEM26	Transmembrane protein 26	Predicted membrane proteins	Mixed	spleen: 11.8
TMIGD2	Transmembrane and immunoglobulin domain containing 2	Predicted intracellular proteins, Predicted membrane proteins	Mixed	lymph node: 7.4
TMPRSS9	Transmembrane protease, serine 9	Enzymes, Predicted membrane proteins	Mixed	spleen: 2.3;testis: 1.7
TMTC1	Transmembrane and tetratricopeptide repeat containing 1	Predicted membrane proteins	Mixed	spleen: 60.8
TNC	Tenascin C	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Expressed in all	appendix: 239.3;smooth muscle: 528.9
TNF	Tumor necrosis factor	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Mixed	bone marrow: 3.7
TNFAIP6	TNF alpha induced protein 6	Plasma proteins, Predicted secreted proteins	Tissue enhanced	appendix: 38.7;gallbladder: 31.8
TNFAIP8L2	TNF alpha induced protein 8 like 2	Predicted intracellular proteins	Expressed in all	lymph node: 34.7;spleen: 39.1
TNFRSF10C	TNF receptor superfamily member 10c	Cancer-related genes, CD markers, Predicted intracellular proteins, Predicted membrane proteins	Mixed	appendix: 21.9
TNFRSF13B	TNF receptor superfamily member 13B	CD markers, Disease related genes, Predicted intracellular proteins, Predicted membrane proteins	Not detected	lymph node: 20.3;skeletal muscle: 22.1;spleen: 27.2;tonsil: 21.0
TNFRSF1B	TNF receptor superfamily member 1B	Cancer-related genes, Candidate cardiovascular disease genes, CD markers, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Expressed in all	appendix: 100.4
TNFRSF4	TNF receptor superfamily member 4	Cancer-related genes, CD markers, Disease related genes, Predicted membrane proteins	Expressed in all	adipose tissue: 9.7;appendix: 8.3
TNFRSF8	TNF receptor superfamily member 8	Cancer-related genes, CD markers, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Tissue enriched	appendix: 4.1
TNFRSF9	TNF receptor superfamily member 9	Cancer-related genes, CD markers, Predicted membrane proteins	Mixed	lymph node: 11.1;tonsil: 7.0
TNFSF11	Tumor necrosis factor superfamily member 11	Cancer-related genes, CD markers, Disease related genes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Mixed	lymph node: 17.3
TNFSF8	Tumor necrosis factor superfamily member 8	Cancer-related genes, CD markers, Predicted membrane proteins	Mixed	lymph node: 34.4;tonsil: 26.7
TNIP3	TNFAIP3 interacting protein 3	Predicted intracellular proteins	Mixed	appendix: 8.8
TRAF1	TNF receptor associated factor 1	Cancer-related genes, Predicted intracellular proteins	Expressed in all	lymph node: 37.6
TRAF3IP3	TRAF3 interacting protein 3	Predicted intracellular proteins, Predicted membrane proteins	Mixed	lymph node: 114.8;spleen: 82.5;tonsil: 82.8
